year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2008,27851.00022,2,1,1,4,1,1,5,2,1,1,3,2,2,0,1,4,2,0,0,2,4
2008,2487.04872,2,2,2,2,5,2,88,0,3,3,2,1,2,0,1,1,1,1,2,1,1
2008,1790.04081,2,1,2,1,7,2,7,1,4,1,3,2,2,0,1,4,2,0,0,2,4
2008,2102.06056,1,3,2,3,6,2,7,4,4,1,4,2,2,0,1,4,2,0,0,2,3
2008,2914.99855,1,1,2,1,3,1,5,1,4,2,5,1,1,1,1,2,1,0,0,2,3
2008,2231.97566,1,1,2,1,4,1,6,2,3,1,4,2,2,0,1,4,2,0,0,2,3
2008,2231.97566,1,1,2,1,4,1,6,2,3,1,3,2,2,0,1,4,2,0,0,2,1
2008,2231.97566,1,1,2,1,4,1,6,2,3,1,4,1,1,4,1,3,1,1,2,2,3
2008,3710.85444,1,1,1,4,4,1,7,1,4,2,4,1,3,5,1,4,2,0,0,2,1
2008,1985.8331,2,1,2,1,6,5,7,0,1,2,1,2,2,0,1,2,1,1,2,1,1
2008,2859.23078,1,1,1,4,5,2,4,5,4,1,4,2,1,2,1,2,1,0,0,2,2
2008,2991.79678,2,1,2,1,7,4,1,1,3,3,2,1,2,0,1,4,2,0,0,2,1
2008,4508.09703,1,1,2,1,2,1,6,1,1,2,4,1,3,5,1,3,1,1,2,2,2
2008,4437.6535,2,1,2,1,1,1,6,1,1,2,4,1,3,5,1,4,2,0,0,2,2
2008,3266.06663,1,1,2,1,7,4,2,1,4,1,3,1,2,0,1,4,2,0,0,1,1
2008,31921.97832,2,1,2,1,5,1,6,1,1,2,1,1,1,2,1,2,1,1,2,2,1
2008,3809.29453,1,1,2,1,5,1,88,1,3,2,4,1,2,0,1,4,2,0,0,2,3
2008,4055.42981,1,1,2,1,5,2,5,0,4,2,4,2,2,0,1,4,2,0,0,2,3
2008,4055.42981,1,1,2,1,5,2,5,0,4,2,3,2,2,0,1,4,2,0,0,2,3
2008,35941.7997,1,1,2,1,5,1,6,0,1,2,4,2,2,0,1,4,2,0,0,2,5
2008,3267.80767,1,1,2,1,6,4,5,1,3,2,1,2,2,0,1,1,1,1,1,1,1
2008,3267.80767,1,1,2,1,6,4,5,1,3,2,1,2,2,0,1,4,2,0,0,2,3
2008,3970.60502,1,1,2,1,1,1,6,2,3,1,4,2,2,0,1,4,2,0,0,2,1
2008,4042.35065,1,1,2,1,6,2,7,0,1,2,3,2,2,0,1,4,2,0,0,2,4
2008,2920.61705,2,2,2,2,8,3,3,4,3,1,6,2,2,0,1,4,2,0,0,2,1
2008,5416.62967,2,1,1,4,4,2,5,4,3,1,4,1,2,0,1,2,1,0,0,1,3
2008,3679.46398,1,1,2,1,5,1,5,1,3,2,3,2,2,0,1,4,2,1,1,2,3
2008,3679.46398,1,1,2,1,5,1,5,1,3,2,4,2,2,0,1,4,2,1,2,2,3
2008,7044.49203,2,3,2,3,3,1,3,2,4,1,4,1,1,1,1,3,1,0,0,2,3
2008,7637.27692,2,3,1,4,5,4,6,0,3,2,4,2,2,0,1,2,1,1,1,2,3
2008,3855.80683,1,1,2,1,1,1,6,0,3,3,5,2,2,0,1,4,2,0,0,2,4
2008,5417.83696,1,1,2,1,5,3,3,0,3,2,2,1,2,0,1,4,2,0,0,2,1
2008,43290.8536,1,1,2,1,1,1,6,1,3,2,3,2,2,0,1,4,2,0,0,2,4
2008,4631.63759,1,1,1,4,2,1,88,5,1,1,4,1,1,1,1,3,1,1,2,1,3
2008,2733.16742,2,1,2,1,8,2,6,1,3,2,3,2,2,0,1,4,2,0,0,2,1
2008,4546.97904,1,1,1,4,5,2,88,1,3,2,4,3,2,0,1,4,2,1,1,2,3
2008,2528.98231,2,2,2,2,8,4,88,0,3,2,4,1,1,1,1,2,1,0,0,2,4
2008,33248.0034,2,1,2,1,6,5,88,1,2,2,1,2,2,0,1,1,1,1,1,1,1
2008,23850.78648,1,1,2,1,1,1,88,1,2,2,2,2,2,0,1,4,2,1,1,1,1
2008,3075.07499,1,1,2,1,7,4,6,1,2,2,3,2,2,0,1,4,2,0,0,2,3
2008,4056.98513,1,1,2,1,2,1,7,3,2,1,5,2,2,0,1,4,2,0,0,2,4
2008,4056.98513,1,1,2,1,2,1,7,3,2,1,5,2,2,0,1,4,2,0,0,2,4
2008,5635.88222,1,1,2,1,5,1,6,0,1,2,5,1,2,0,1,4,2,0,0,2,3
2008,5635.88222,1,1,2,1,5,1,6,0,1,2,5,1,2,0,1,4,2,0,0,2,3
2008,5635.88222,1,1,2,1,5,1,6,0,1,2,5,1,2,0,1,4,2,0,0,2,3
2008,4580.49668,1,2,2,2,6,5,4,1,2,3,3,3,1,3,1,3,1,0,0,2,3
2008,3369.00325,2,1,2,1,6,2,3,1,2,1,2,2,2,0,1,4,2,0,0,2,1
2008,6675.91552,1,1,2,1,4,1,7,1,1,2,3,2,2,0,1,4,2,0,0,2,1
2008,3393.80483,2,1,2,1,7,1,5,1,1,2,3,1,2,0,1,4,2,0,0,2,3
2008,6250.49013,2,1,2,1,3,1,6,1,1,2,5,1,2,0,1,4,2,0,0,1,4
2008,5727.74376,1,2,2,2,3,1,7,1,3,2,3,2,2,0,1,4,2,1,1,2,2
2008,5519.29776,2,1,2,1,4,1,6,3,3,1,3,2,2,0,1,4,2,0,0,2,2
2008,4501.18102,1,2,2,2,2,1,88,4,2,1,4,1,2,0,2,5,3,0,0,2,3
2008,32738.1652,2,1,2,1,5,5,4,1,1,2,1,1,1,3,1,3,1,1,2,2,1
2008,4776.24835,1,1,2,1,4,1,2,1,1,2,4,2,2,0,1,4,2,0,0,2,3
2008,4776.24835,1,1,2,1,4,1,2,1,1,2,4,2,2,0,1,4,2,0,0,2,3
2008,2785.6677,2,1,2,1,7,4,3,0,2,3,3,1,2,0,1,2,1,0,0,2,1
2008,1934.6453,2,1,1,4,7,1,5,3,4,1,3,2,2,0,1,4,2,0,0,2,3
2008,1934.6453,2,1,1,4,7,1,5,3,4,1,3,2,2,0,1,4,2,0,0,2,3
2008,1934.6453,2,1,1,4,7,1,5,3,4,1,3,2,2,0,1,4,2,0,0,2,3
2008,1908.84212,1,1,1,4,6,2,5,0,4,2,4,2,2,0,1,4,2,0,0,2,1
2008,2452.72509,1,1,1,4,6,1,88,5,4,1,4,2,1,2,1,2,1,0,0,2,3
2008,1957.89104,2,1,2,1,7,1,3,1,4,2,6,1,2,0,1,2,1,0,0,2,1
2008,3631.72632,2,1,1,4,5,2,7,1,4,2,3,2,2,0,1,4,2,0,0,2,3
2008,1970.56983,2,1,2,1,6,2,7,1,4,3,3,1,2,0,1,4,2,0,0,2,1
2008,2168.62972,1,1,2,1,6,2,6,2,4,1,4,1,1,3,1,3,1,0,0,2,3
2008,2845.135,2,1,2,1,3,1,88,1,3,1,1,2,2,0,1,4,2,0,0,2,1
2008,2598.97138,2,3,2,3,2,1,1,2,4,1,4,1,2,0,1,4,2,1,1,2,3
2008,2136.07591,2,1,2,1,5,1,3,1,4,2,4,2,2,0,1,4,2,0,0,2,1
2008,1489.59486,2,1,2,1,8,2,6,1,3,3,5,2,2,0,1,4,2,0,0,2,3
2008,7423.26225,2,1,2,1,3,1,7,1,1,2,2,2,1,3,1,3,1,0,0,2,1
2008,2835.5865,2,1,1,4,6,2,3,1,3,3,4,1,1,1,1,2,1,0,0,2,2
2008,3311.17851,1,1,2,1,8,4,3,1,3,2,5,2,2,0,2,5,3,0,0,2,3
2008,5681.91374,2,1,2,1,3,1,5,0,1,2,1,2,2,0,1,4,2,0,0,2,2
2008,3007.62259,2,1,2,1,6,2,7,1,1,2,3,2,2,0,1,4,2,1,1,2,4
2008,3740.22511,1,1,1,4,5,2,88,1,3,2,4,1,2,0,1,4,2,0,0,2,1
2008,3197.25076,2,1,2,1,5,5,88,0,3,2,2,1,2,0,1,4,2,1,2,2,2
2008,4484.99131,2,2,2,2,4,1,4,0,3,2,4,1,2,0,1,4,2,1,1,2,3
2008,3195.29395,2,1,2,1,6,1,4,1,3,2,3,2,2,0,1,4,2,0,0,2,3
2008,3471.81533,1,1,2,1,6,1,3,5,3,1,4,2,3,5,1,2,1,1,1,2,3
2008,3085.3045,1,1,2,1,7,2,6,1,3,3,4,1,2,0,1,4,2,0,0,2,1
2008,3085.3045,1,1,2,1,7,2,6,1,3,3,4,1,2,0,1,4,2,0,0,2,3
2008,3626.6208,2,2,2,2,5,1,4,0,3,2,1,1,2,0,1,4,2,0,0,2,3
2008,4056.84593,2,1,2,1,2,1,7,1,4,1,4,2,2,0,1,4,2,0,0,1,5
2008,3084.01904,1,1,2,1,7,4,88,1,3,3,5,1,2,0,1,4,2,0,0,1,5
2008,5103.68474,1,3,2,3,3,1,5,1,3,1,4,2,2,0,1,2,1,1,2,1,3
2008,3490.52382,2,1,2,1,6,5,1,1,3,2,4,1,3,5,1,4,2,0,0,2,3
2008,3364.38143,1,1,2,1,7,2,7,1,3,2,3,2,1,2,1,3,1,0,0,2,3
2008,4038.43866,1,1,2,1,4,1,4,3,3,1,4,3,1,3,1,3,1,0,0,1,3
2008,6468.73299,1,2,2,2,5,1,3,2,2,1,1,1,1,2,1,3,1,0,0,2,1
2008,6468.73299,1,2,2,2,5,1,3,2,2,1,4,1,2,0,1,4,2,1,2,2,3
2008,6468.73299,1,2,2,2,5,1,3,2,2,1,4,1,2,0,1,4,2,1,2,2,3
2008,3855.42242,2,1,2,1,2,1,7,1,2,2,3,3,2,0,1,4,2,1,1,1,4
2008,4548.3402,1,1,2,1,1,1,5,0,2,2,5,2,1,3,1,3,1,0,0,2,1
2008,2845.19599,2,1,2,1,7,2,6,1,2,3,3,2,2,0,1,4,2,0,0,2,4
2008,10382.12359,1,2,2,2,5,2,6,3,2,1,4,2,2,0,1,4,2,0,0,2,3
2008,3249.91027,2,1,2,1,6,4,2,0,3,3,3,1,2,0,1,1,1,0,0,2,3
2008,4683.87552,1,1,2,1,5,1,3,3,2,1,4,1,2,0,1,4,2,0,0,1,5
2008,3507.19055,2,1,2,1,5,4,6,1,2,2,4,2,2,0,1,4,2,1,1,2,3
2008,4511.17292,2,1,2,1,5,4,5,3,3,1,5,2,1,2,1,3,1,0,0,2,3
2008,2148.50169,1,1,2,1,7,2,88,4,2,1,3,1,2,0,1,4,2,0,0,2,4
2008,2663.62169,1,2,2,2,3,1,1,1,1,2,3,1,3,5,1,4,2,0,0,2,3
2008,1789.6614,2,1,2,1,5,1,7,1,3,1,3,2,2,0,1,4,2,0,0,2,1
2008,1684.89806,2,1,2,1,6,4,5,0,2,3,4,1,1,2,1,3,1,0,0,2,1
2008,2410.91838,2,2,2,2,5,1,88,3,3,1,4,1,1,2,1,3,1,0,0,2,3
2008,2410.91838,2,2,2,2,5,1,88,3,3,1,4,1,2,0,1,1,1,0,0,2,3
2008,2410.91838,2,2,2,2,5,1,88,3,3,1,6,1,2,0,1,1,1,0,0,2,3
2008,2410.91838,2,2,2,2,5,1,88,3,3,1,5,1,2,0,1,1,1,0,0,2,3
2008,2410.91838,2,2,2,2,5,1,88,3,3,1,4,1,3,5,1,1,1,0,0,2,3
2008,1752.29928,1,2,2,2,8,1,4,1,2,1,5,2,1,4,1,3,1,0,0,2,3
2008,1752.29928,1,2,2,2,8,1,4,1,2,1,5,2,2,0,1,4,2,0,0,2,3
2008,1790.39979,2,1,2,1,8,2,6,1,1,2,3,2,2,0,1,4,2,0,0,2,1
2008,2285.02926,1,1,2,1,3,1,7,0,2,3,4,2,2,0,1,4,2,0,0,2,3
2008,1943.7753,2,1,2,1,6,2,88,1,3,2,4,1,1,3,1,2,1,0,0,2,1
